Microsoft Windows [Version 10.0.26200.8246]
(c) Microsoft Corporation. All rights reserved.

C:\Users\user>ping -t 172.20.10.1

172.20.10.1 に ping を送信しています 32 バイトのデータ:
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =61ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =9ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =172ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =11ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =19ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =116ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =62ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =19ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =2ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =59ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =165ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =1542ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =353ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =50ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =28ms TTL=64
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =182ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =264ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =1448ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =17ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =14ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =107ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =11ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =176ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =25ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =8ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =34ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =36ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =26ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =8ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =32ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =71ms TTL=64
要求がタイムアウトしました。
要求がタイムアウトしました。
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =9ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =15ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =318ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =2088ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =1035ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =286ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =265ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =389ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =30ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =168ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =45ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =9ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =35ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =212ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =275ms TTL=64
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =123ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =12ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =79ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =24ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =386ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =34ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =215ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =157ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =324ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =427ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =9ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =253ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =636ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =86ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =157ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =2ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =12ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =192ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =63ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =8ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =8ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =14ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =394ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =31ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =383ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =35ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =22ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =39ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =15ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =15ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =78ms TTL=64
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =46ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =19ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =8ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =17ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =102ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =353ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =47ms TTL=64
